gene	logOR	p-value adjusted	P	M	C	S	totalP	totalM	totalC	totalS	mice_with_C_or_S	n_alt_counts	n_CL
GABRB1	9.03	8.22e-12	0	0	23	21	11	9	23	24	9	164	5
ARL6IP5	8.24	8.47e-12	0	0	34	43	10	8	36	50	9	141	5
ETFBKMT	11.09	8.47e-12	0	0	14	15	10	8	14	15	8	133	5
JAM2	11.09	8.47e-12	0	0	15	14	10	8	15	14	9	45	5
GMPR2	8.14	8.53e-12	0	0	28	37	11	9	33	41	9	435	5
PSMC3IP	11.09	1.07e-11	0	0	14	12	11	9	14	12	9	136	5
RNF216	10.03	1.07e-11	0	0	20	27	9	7	21	27	8	88	5
DOCK10	8.74	1.62e-11	0	0	30	28	9	7	31	31	9	214	6
PCYOX1	7.86	1.81e-11	0	0	36	40	11	9	37	52	9	272	6
NFATC3	10.99	1.98e-11	0	0	13	14	10	8	13	14	7	138	5
RTN4IP1	11.04	1.98e-11	0	0	13	15	10	8	13	15	8	94	6
TRPC7	11.04	1.98e-11	0	0	11	17	10	8	11	17	9	82	5
TXNL4A	8.43	2.15e-11	0	0	32	46	9	7	35	50	9	25	5
MRPL15	9.06	2.43e-11	0	0	24	32	9	7	24	35	8	92	5
PUS7	10.91	3.03e-11	0	0	12	11	11	9	12	11	8	97	6
USP9X	8.58	3.05e-11	0	0	23	23	10	8	26	24	8	180	5
ARMH3	7.86	3.11e-11	0	0	25	34	11	9	29	40	9	130	5
MPDZ	10.04	3.2e-11	0	0	26	28	8	6	26	29	8	129	5
PSEN1	7.98	3.2e-11	0	0	32	46	10	8	36	53	9	119	6
ST8SIA6	8.25	3.31e-11	0	0	28	33	10	8	30	38	9	130	5
HAO2	9.01	3.62e-11	0	0	29	25	9	7	29	28	8	41	5
RFX6	9.01	3.62e-11	0	0	26	28	9	7	27	30	9	80	5
ZNF780B	9.75	3.62e-11	0	0	13	18	11	9	13	19	9	227	6
MAK	8.16	3.68e-11	0	0	21	24	11	9	22	29	9	209	6
KHSRP	8.16	4.3e-11	0	0	26	26	11	9	27	32	8	291	6
PTCH1	7.82	4.35e-11	0	0	36	40	10	8	37	51	9	237	6
GLB1L	10.94	4.69e-11	0	0	12	14	10	8	12	14	9	102	5
PPIL4	10.93	4.83e-11	0	0	10	19	9	7	10	19	7	45	5
MALSU1	7.72	5.19e-11	0	0	30	39	11	9	36	46	9	140	6
CSTF2T	7.64	5.3e-11	0	0	31	44	11	9	37	53	9	577	5
OR9Q1	8.82	5.39e-11	0	0	19	19	11	9	20	21	9	217	5
PROZ	8.59	5.47e-11	0	0	27	25	9	7	27	29	7	74	5
OAS1	7.31	5.81e-11	0	0	38	48	12	9	44	65	10	854	6
PTER	8.1	6.52e-11	0	0	14	29	11	9	17	32	9	88	5
DYNC1H1	7.62	7.49e-11	0	0	35	39	11	9	37	52	9	735	6
MPP5	7.6	7.49e-11	0	0	31	42	11	9	37	51	9	140	6
MRPL27	8.41	8.29e-11	0	0	24	26	10	8	25	30	9	73	5
ZSWIM3	10.78	8.66e-11	0	0	10	11	11	9	10	11	8	532	5
PDHA1	8.95	8.67e-11	0	0	14	19	10	8	14	21	9	70	6
MYO1D	8.45	8.93e-11	0	0	12	30	10	8	12	34	8	129	6
ZNF451	7.49	1.08e-10	0	0	35	37	11	9	36	52	8	344	6
CCSER1	8.19	1.45e-10	0	0	32	34	9	7	34	39	9	96	5
MYOT	7.45	1.59e-10	0	0	31	39	11	9	35	51	9	345	6
MTA3	9.6	1.86e-10	0	0	13	18	10	8	13	19	7	68	5
WAPL	7.82	2.01e-10	0	0	23	29	11	9	26	35	9	301	6
NR3C2	9.55	2.02e-10	0	0	13	14	11	9	13	15	8	605	6
GRTP1	8.3	2.35e-10	0	0	21	13	11	9	22	16	8	220	5
SNX27	10.72	2.44e-10	0	0	7	18	9	7	7	18	8	60	5
KDM1A	9.72	2.79e-10	0	0	24	19	8	6	25	19	8	30	5
BTBD16	7.33	3.07e-10	0	0	31	41	11	9	37	53	9	361	6
CHUK	10.64	3.5e-10	0	0	4	17	10	8	4	17	8	119	6
S100PBP	10.7	3.5e-10	0	0	11	11	10	8	11	11	9	120	5
ACOD1	7.89	3.92e-10	0	0	25	18	11	9	28	22	9	131	5
ATP13A3	8.68	3.92e-10	0	0	12	31	9	7	13	33	6	161	5
CFAP70	9.56	4.11e-10	0	0	9	21	10	8	10	21	7	186	5
SLC24A4	7.35	4.43e-10	0	0	33	36	11	9	37	49	9	265	6
PDHA2	7.48	4.73e-10	0	0	31	23	11	9	31	35	8	288	6
TBC1D31	7.58	4.73e-10	0	0	30	23	11	9	34	30	9	646	6
MTR	7.75	4.74e-10	0	0	17	32	10	8	20	37	9	211	5
PPP2R1B	10.72	5.47e-10	0	0	4	16	11	9	4	16	8	172	5
CA5B	10.6	5.97e-10	0	0	12	11	9	7	12	11	6	35	5
SLAMF6	10.64	7.03e-10	0	0	12	15	8	6	12	15	8	65	5
NUDT12	7.86	7.1e-10	0	0	17	25	11	9	18	31	8	278	5
USP54	7.87	7.91e-10	0	0	21	26	10	8	22	32	9	164	6
TDRD15	7.42	8.31e-10	0	0	35	36	10	8	37	49	9	176	5
TMEM26	7.6	8.31e-10	0	0	25	35	10	8	30	41	9	77	5
LATS1	7.96	9.79e-10	0	0	25	31	9	7	26	37	8	86	6
NOX1	10.57	1.05e-09	0	0	6	14	10	8	6	14	9	88	5
POSTN	10.49	1.05e-09	0	0	7	12	10	8	7	12	7	58	5
UGT3A2	8.15	1.21e-09	0	0	15	19	10	8	16	22	9	155	6
TNFRSF10C	8.6	1.22e-09	0	0	6	15	13	9	6	17	6	7509	6
ANKMY2	7.16	1.4e-09	0	0	34	30	11	9	36	46	9	127	6
MED26	9.33	1.42e-09	0	0	11	12	11	9	11	13	7	223	5
SLC25A24	10.54	1.54e-09	0	0	9	13	9	7	9	13	6	82	5
MBNL2	7.4	1.77e-09	0	0	29	32	10	8	31	43	8	223	6
RAD51AP2	7.29	1.77e-09	0	0	28	33	10	8	30	45	9	209	5
CTNNAL1	7.27	1.82e-09	0	0	29	29	11	9	30	43	9	209	5
GALNT5	7.5	2.56e-09	0	0	15	22	11	9	17	28	9	200	5
CHD1	8.38	2.8e-09	0	0	9	19	11	9	11	20	8	351	5
NUB1	8.33	2.8e-09	0	0	9	18	11	9	11	19	8	273	5
TDRD9	7.8	3.59e-09	0	0	24	26	9	7	25	32	8	208	5
LRPPRC	7.23	4.22e-09	0	0	24	25	11	9	29	33	8	191	6
CD4	7.18	4.42e-09	0	0	34	34	10	8	36	49	9	209	5
MAGI2	10.4	4.42e-09	0	0	7	13	9	7	7	13	7	88	6
BPHL	8.5	4.94e-09	0	0	10	17	9	7	11	18	8	127	5
STXBP1	9.29	4.94e-09	0	0	12	16	9	7	12	17	8	99	6
CCDC170	6.66	5.71e-09	0	0	34	42	12	9	44	64	10	531	6
PHKA1	7.47	5.71e-09	0	0	18	27	10	8	19	35	9	97	5
SLC26A3	8.5	5.81e-09	0	0	10	14	10	8	10	16	8	103	5
CALHM4	10.42	6.91e-09	0	0	5	13	10	8	5	13	8	67	5
SLC44A5	10.35	8.22e-09	0	0	10	12	8	6	10	12	7	61	5
RASGRF2	6.93	1.08e-08	0	0	31	36	10	8	36	51	9	438	6
ARMCX5	7.1	1.16e-08	0	0	28	29	10	8	30	42	9	105	5
KCNS2	6.92	1.23e-08	0	0	30	24	11	9	34	38	8	201	5
SPTSSB	6.74	1.23e-08	0	0	30	31	10	9	33	50	8	136	5
ASB4	10.25	1.37e-08	0	0	4	12	10	8	4	12	7	100	5
EXT1	10.25	1.37e-08	0	0	7	11	9	7	7	11	7	136	5
MED14	10.25	1.37e-08	0	0	4	14	9	7	4	14	9	101	5
FFAR4	6.83	1.85e-08	0	0	29	30	11	9	35	45	9	135	5
ARMCX1	6.88	2.03e-08	0	0	27	20	11	9	29	34	7	250	6
TAS2R16	6.52	2.13e-08	0	0	36	35	12	9	44	60	10	432	6
TFB2M	6.71	2.65e-08	0	0	29	33	11	9	37	49	9	243	6
BTK	7.49	2.71e-08	0	0	17	18	9	7	18	23	8	41	5
CREB5	7.73	2.71e-08	0	0	18	17	9	7	19	21	8	48	5
TXNIP	7.81	2.84e-08	0	0	11	19	9	7	11	23	7	127	5
TMEM143	7.71	2.88e-08	0	0	11	14	10	8	11	18	9	141	5
MTMR14	6.77	2.93e-08	0	0	22	32	11	9	31	43	9	167	5
JAKMIP2	5.39	3.18e-08	1	0	32	51	13	9	44	67	11	1052	6
