gene	logOR	p-value adjusted	P	M	C	S	totalP	totalM	totalC	totalS	mice_with_C_or_S	n_alt_counts	n_CL
PHF10	3.72	0.000165	1	1	16	25	12	9	23	42	10	499	6
PRR14L	5.2	0.000169	0	0	23	23	12	9	42	58	10	473	6
ARMC2	6.18	0.000173	0	0	4	12	9	7	6	17	8	167	5
WASHC5	6.34	0.000185	0	0	3	10	9	7	4	14	7	101	5
BACE2	5.93	0.00021	0	0	5	12	9	7	8	18	8	67	5
PTPRG	5.77	0.00021	0	0	3	12	10	8	9	16	7	83	5
SNX25	5.68	0.000212	0	0	5	16	10	8	9	27	8	73	5
SPAG6	5.66	0.000212	0	0	4	18	10	8	12	26	9	99	5
PEPD	6.65	0.000213	0	0	2	7	10	8	2	10	6	77	5
RARS2	6.65	0.000213	0	0	3	6	10	8	4	8	6	94	5
ERLEC1	6.52	0.00022	0	0	1	11	9	7	2	14	7	36	5
MTHFD1L	6.88	0.00022	0	0	5	11	7	5	6	13	7	48	5
RAPGEF2	6.4	0.00022	0	0	5	6	9	7	7	8	7	226	5
KIAA1217	5.1	0.000236	0	0	18	29	13	9	42	67	11	439	6
JADE1	5.23	0.000247	0	0	17	26	11	9	37	53	8	325	6
SPATA9	5.19	0.000247	0	0	21	23	11	8	39	52	10	381	6
LRP6	5.22	0.000249	0	0	18	22	11	9	34	50	9	304	6
RPEL1	5.25	0.000249	0	0	19	21	11	9	33	50	8	153	5
FBXO6	5.34	0.000294	0	0	14	20	10	8	27	38	8	223	6
PYGM	5.9	0.000295	0	0	12	5	8	6	13	12	6	133	6
ETDC	5.31	0.000312	0	0	9	20	11	9	18	41	9	144	5
MANEA	6.81	0.000373	0	0	3	5	9	7	3	7	6	142	6
NARF	6.63	0.000373	0	0	3	4	9	7	3	6	6	169	6
SCP2	7.37	0.000373	0	0	0	7	9	7	0	8	6	79	5
CEP95	6.39	0.000383	0	0	1	11	10	8	1	16	7	139	5
FERMT3	6.29	0.000406	0	0	5	5	11	9	7	8	7	209	6
IFI30	6.63	0.000425	0	0	1	9	9	7	1	12	6	174	5
XPO4	6.48	0.000425	0	0	5	4	9	7	6	6	6	112	5
AP2B1	5.1	0.000431	0	0	20	19	10	8	34	47	7	149	6
ATP5F1A	5.81	0.000434	0	0	1	13	8	8	4	18	6	158	5
UGCG	3.3	0.000487	4	3	32	35	10	8	36	41	6	314	5
PDE6A	5.12	0.000493	0	0	15	18	11	9	29	43	9	187	5
ATRN	5.18	0.000496	0	0	19	14	9	7	27	36	7	136	5
MAP10	5.36	0.000496	0	0	9	15	11	9	13	35	9	471	6
TMEM106A	5.36	0.000496	0	0	10	13	11	9	19	27	7	101	5
RAD50	5.07	0.000562	0	0	14	22	11	9	34	46	8	359	5
NLN	5.23	0.000583	0	0	6	16	11	9	18	28	7	213	5
RALGAPA1	5.69	0.000591	0	0	6	14	8	6	11	20	7	176	5
ANKRD28	5.26	0.000592	0	0	10	16	10	8	23	28	8	119	6
OTOA	5.27	0.000603	0	0	11	14	9	6	17	28	8	110	5
ELF2	5.83	0.000641	0	0	1	10	10	8	3	15	7	110	5
GTF2H1	5.59	0.000688	0	0	6	16	8	6	14	21	7	99	5
NUP98	5.12	0.000771	0	0	14	13	11	9	23	36	9	171	5
NRSN1	5.14	0.000908	0	0	5	16	9	9	8	35	6	169	5
SF3B1	5.29	0.00092	0	0	7	13	11	9	10	31	7	146	5
EZH1	5.15	0.000946	0	0	16	12	9	7	26	28	7	86	5
PARD3	5.1	0.000961	0	0	10	20	8	7	23	34	7	120	6
THSD4	4.84	0.00112	0	0	22	22	10	7	41	57	9	84	5
ENKUR	5.13	0.00114	0	0	18	17	9	7	29	39	8	79	5
PKHD1L1	4.7	0.00116	0	0	18	23	12	9	44	65	8	915	6
KPNA5	5.65	0.00119	0	0	4	10	9	7	7	16	7	156	5
PIP4K2A	4.91	0.00128	0	0	17	18	11	9	33	50	8	169	5
TENM1	5.19	0.00129	0	0	17	12	8	6	27	25	8	53	6
C1orf21	5.21	0.00138	0	0	20	12	8	6	27	30	6	60	5
EXOSC10	4.82	0.00148	0	0	21	14	11	9	36	50	8	148	5
WWC2	4.86	0.00148	0	0	15	21	11	9	36	51	9	373	6
RBM25	5.54	0.0015	0	0	3	15	7	7	5	24	6	126	5
PAH	4.91	0.00154	0	0	29	13	9	7	36	52	9	11	4
TRIM23	6.3	0.00163	0	0	0	9	8	6	1	11	6	98	5
ADGB	4.77	0.00167	0	0	10	25	11	9	36	52	8	328	6
MSANTD1	5.78	0.00169	0	0	2	5	9	7	2	9	7	107	5
ZC3H12B	4.98	0.00177	0	0	10	16	11	9	24	36	8	157	6
WDHD1	4.75	0.00186	0	0	12	17	9	8	30	37	8	276	5
LDHA	4.99	0.0019	0	0	9	8	11	9	19	20	7	208	5
RANBP2	4.69	0.00193	0	0	15	22	12	9	40	59	9	691	6
RBBP6	5.26	0.00198	0	0	12	14	6	4	16	24	6	23	5
ATPAF1	5.42	0.00217	9	6	33	27	11	9	33	27	9	441	6
BUB1	4.78	0.00225	0	0	16	18	10	8	34	46	8	89	5
RPGRIP1L	4.81	0.00225	0	0	14	20	10	8	33	46	8	255	5
HAX1	4.88	0.00233	0	0	11	19	11	9	29	43	7	210	6
PDIK1L	4.79	0.00238	0	0	17	21	10	8	37	52	7	89	5
MXRA5	3.03	0.00249	1	1	21	24	12	9	39	49	9	905	6
NIPAL1	4.68	0.00278	0	0	13	18	11	9	33	48	9	259	6
TDRD3	4.87	0.00279	0	0	11	11	10	8	21	29	7	190	5
CYFIP2	5.32	0.00281	0	0	4	10	8	6	7	17	7	70	6
HSP90B1	4.71	0.00285	0	0	14	19	11	9	37	48	8	120	6
DICER1	4.64	0.00288	0	0	12	17	11	9	34	43	8	961	6
NDST4	4.95	0.00293	0	0	6	9	9	7	12	19	7	96	6
HACL1	5.79	0.00295	0	0	5	5	8	6	8	7	6	93	5
LIPF	4.71	0.00307	0	0	16	19	11	9	37	53	8	273	5
NOL11	4.67	0.00319	0	0	11	23	11	9	36	53	8	268	5
SLC4A1	4.72	0.00324	0	0	13	14	9	7	24	37	7	131	5
MYOF	3.75	0.00334	1	0	25	29	12	9	44	65	9	690	6
TRMT5	4.74	0.00342	0	0	18	16	9	7	34	42	7	143	5
FGG	4.68	0.00346	0	0	17	14	9	7	34	37	7	85	5
GINM1	5.53	0.0037	0	0	4	6	9	7	7	10	6	59	5
CTTNBP2	4.67	0.00375	0	0	22	11	9	7	36	40	7	109	5
SIN3B	4.74	0.00389	0	0	16	12	10	8	28	39	9	105	5
DNAJB5	4.99	0.00393	0	0	8	10	10	8	16	23	6	61	5
HEBP2	5.5	0.00403	0	0	3	7	11	9	6	13	7	139	5
SPIRE1	4.91	0.00408	0	0	17	13	8	6	26	33	6	157	5
MMRN1	4.57	0.00417	0	0	19	19	12	9	44	63	9	624	5
ZNF765	4.65	0.00422	0	0	10	19	10	8	34	38	7	46	5
FBXO33	4.68	0.00435	0	0	14	17	10	8	33	43	8	162	6
IGSF1	4.63	0.00442	0	0	7	17	11	9	27	37	8	398	5
NDUFA5	4.88	0.00455	0	0	9	10	7	5	16	19	6	58	5
TAF1A	5.58	0.00459	0	0	3	5	8	7	5	8	6	213	5
ZFHX3	4.58	0.00459	0	0	18	11	10	8	33	41	6	370	6
PGK1	4.57	0.00492	0	0	16	12	10	8	32	40	6	54	5
FDPS	4.62	0.00501	0	0	19	9	12	8	34	41	8	214	5
FANCE	4.53	0.00539	0	0	15	14	11	9	35	46	8	380	6
SYT1	4.55	0.00539	0	0	15	14	11	9	35	45	7	223	5
ADCY8	4.51	0.0058	0	0	13	18	11	9	37	50	8	166	6
RASA1	4.75	0.0059	0	0	4	9	9	7	12	17	8	78	5
OR8I2	4.48	0.006	0	0	11	17	11	9	37	43	7	660	6
PSG11	4.48	0.006	0	0	14	14	11	9	33	47	8	844	6
NSDHL	4.72	0.00609	0	0	9	13	10	8	23	30	7	70	5
ALG2	4.42	0.0061	0	0	7	22	11	9	36	49	8	158	5
NSUN6	4.42	0.00623	0	0	7	24	11	9	37	54	8	377	6
CNOT10	4.48	0.00647	0	0	11	14	8	7	23	37	6	115	6
SOS2	4.42	0.00668	0	0	9	21	11	9	37	51	7	418	5
LMLN	4.4	0.00687	0	0	12	25	11	8	42	64	10	271	5
NT5DC1	5.34	0.00735	0	0	5	7	6	4	7	11	6	37	6
CCDC196	4.49	0.00791	0	0	13	21	9	7	37	47	8	59	6
PRPF18	4.45	0.00791	0	0	18	15	9	7	36	47	7	56	5
ESRP1	4.48	0.008	0	0	9	12	11	9	26	34	8	133	6
LIPK	4.22	0.008	0	0	15	16	12	9	43	60	8	548	6
PCGF1	4.49	0.0083	0	0	11	15	10	8	29	40	7	86	5
RLF	4.53	0.00837	0	0	9	19	10	8	30	43	9	194	5
RNPC3	4.86	0.00874	0	0	4	10	7	5	7	19	6	63	6
PRKG2	4.41	0.00893	0	0	8	16	10	8	26	40	8	146	6
URI1	4.46	0.00962	0	0	7	18	11	9	30	42	9	106	5
TSSK4	4.35	0.00985	0	0	17	12	10	8	36	46	8	135	5
ITSN2	4.49	0.0102	0	0	1	14	10	8	10	30	7	373	5
CSNK1G3	4.47	0.0103	0	0	14	20	10	8	37	54	7	177	5
ZC3H12C	4.34	0.0107	0	0	14	13	11	9	35	47	9	150	5
HCAR2	4.27	0.0111	0	0	11	16	11	9	36	49	7	399	6
NOLC1	4.27	0.0111	0	0	19	8	11	9	35	50	8	216	6
OR14K1	4.34	0.0111	0	0	16	12	11	9	35	50	8	160	6
METTL16	4.46	0.0111	0	0	4	14	9	8	10	37	6	235	5
GDPD3	4.76	0.0115	0	0	5	9	8	6	13	16	7	55	5
ZNF827	4.22	0.0118	0	0	9	18	11	9	36	51	8	289	6
KLHL24	4.45	0.0125	0	0	11	25	8	6	34	50	7	120	5
TNRC6A	4.17	0.0127	0	0	11	16	11	9	37	52	9	667	6
NCBP3	4.71	0.0128	0	0	4	5	8	6	8	11	6	81	6
ZNF813	4.09	0.0137	0	0	10	17	12	9	42	54	8	885	6
PGBD1	4.32	0.0141	0	0	8	16	9	7	20	44	8	200	5
LINGO2	4.19	0.0147	0	0	5	14	9	8	20	36	6	214	5
ATP8A2	4.7	0.0154	0	0	3	6	10	8	10	12	6	62	6
PDS5B	4.45	0.0161	0	0	5	9	10	8	11	27	6	207	6
SMC4	4.26	0.0167	0	0	22	11	9	7	37	53	8	91	6
ERCC4	4.21	0.0169	0	0	8	13	11	9	27	41	8	134	5
MINAR1	4.37	0.017	0	0	4	9	10	9	10	28	6	140	5
RUFY2	4.31	0.0171	0	0	6	7	9	7	13	22	6	231	5
UBA6	4.64	0.0178	0	0	2	9	7	5	5	17	6	58	5
PAX6	4.19	0.0179	0	0	6	22	9	8	32	50	7	365	6
DROSHA	4.09	0.0181	0	0	6	21	9	8	32	51	7	273	6
DDX21	4.27	0.0191	0	0	12	18	10	8	35	53	9	364	6
DNAJC13	4.33	0.0193	0	0	6	12	9	6	12	34	8	350	6
USP15	4.14	0.02	0	0	6	20	10	8	33	48	7	216	5
TUT7	4.13	0.0207	0	0	8	16	11	9	30	51	6	340	6
MDGA2	4.09	0.0207	0	0	15	10	11	9	36	50	6	189	6
AMZ2	4.07	0.0216	0	0	17	9	11	9	37	53	8	218	6
CD3G	4.22	0.0216	0	0	1	14	8	8	7	35	7	212	5
GPR149	4.07	0.0216	0	0	14	12	11	9	37	53	9	149	5
HFE	4.04	0.0216	0	0	8	17	11	9	37	51	8	413	6
UGGT2	4.14	0.0222	0	0	6	9	10	8	12	35	6	528	6
NSMCE1	4.43	0.0225	0	0	5	6	8	6	11	15	6	30	5
BLM	4.05	0.0228	0	0	14	12	11	9	37	54	8	497	6
TNRC6C	4.06	0.0235	0	0	14	14	12	9	42	59	9	399	6
GOLGA6L7	4.41	0.0246	0	0	3	4	11	9	10	11	6	200	6
NF1	4.07	0.025	0	0	7	10	10	8	22	33	6	284	6
ERG28	4.22	0.0254	0	0	13	19	8	6	34	48	7	62	6
FBXL4	4.11	0.0255	0	0	11	15	8	6	33	37	7	149	6
SAMD9	3.91	0.0255	0	0	11	16	13	9	44	65	10	465	6
SULF1	4.16	0.0258	0	0	12	7	10	8	29	30	6	193	6
MACROH2A2	4.16	0.0262	0	0	11	12	9	7	26	40	8	71	5
FBXW11	4	0.0272	0	0	4	13	10	8	18	39	7	276	5
SYT10	4.12	0.0274	0	0	8	10	11	9	26	35	6	182	6
EMSY	4.11	0.028	0	0	10	16	9	7	33	43	8	140	6
ARHGAP12	4.3	0.0294	0	0	0	12	10	8	7	28	6	312	5
YES1	3.96	0.0295	0	0	10	9	10	8	30	35	7	104	5
APBB1IP	3.97	0.0302	0	0	12	11	9	7	31	41	7	123	6
SNTN	3.97	0.0307	0	0	13	17	9	6	37	53	8	129	5
SMCR8	4	0.0311	0	0	7	13	11	9	30	42	9	1008	6
VIRMA	4	0.0311	0	0	8	12	11	9	32	40	8	301	5
BBS7	4.07	0.0319	0	0	9	17	10	8	35	49	9	205	6
ANK2	4.13	0.0321	0	0	6	10	8	5	14	27	6	100	5
MTERF2	3.87	0.0339	0	0	10	13	10	9	33	52	8	206	6
PTK2	4.01	0.0339	0	0	4	20	11	9	33	53	7	284	5
ZNF501	3.99	0.0341	0	0	15	8	11	9	35	48	7	189	5
CACNA1D	4.39	0.0341	0	0	3	7	7	5	6	16	7	66	5
HMGCS1	3.88	0.0348	0	0	7	16	11	9	37	51	8	125	5
RUFY1	3.94	0.0348	0	0	8	16	11	9	37	52	7	162	6
RWDD2A	3.88	0.0348	0	0	15	8	11	9	37	51	7	96	5
IPO5	2.62	0.035	1	1	14	10	11	9	20	33	8	255	6
PARP1	3.95	0.0353	0	0	9	15	6	5	22	38	6	8	3
ATP2A1	2.27	0.0355	4	3	22	25	9	7	26	33	6	326	5
KTN1	3.81	0.0361	0	0	11	12	11	9	37	54	7	481	5
NSD1	3.9	0.0361	0	0	8	16	11	9	37	54	8	740	6
PABPC1	2.4	0.0361	11	6	43	66	13	9	44	71	11	1192	6
ZNF680	4.24	0.0366	0	0	4	10	11	9	18	27	6	192	5
ZNF800	4.09	0.0366	0	0	3	10	11	9	15	30	6	283	5
TTC3	3.8	0.0383	0	0	8	17	12	9	42	61	9	529	5
SEPSECS	4.16	0.0415	0	0	4	13	6	4	12	25	6	174	5
ABHD10	3.93	0.0445	0	0	9	17	8	6	34	42	6	99	5
SERPINB6	3.79	0.0469	0	0	3	13	11	8	17	45	7	248	6
